trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,duration_minutes
1,2020-01-01 22:03:00,2020-01-02 04:55:00,Long,1.12135,1.12035,-0.001,SL,412.0
2,2020-01-02 05:43:00,2020-01-02 10:29:00,Long,1.12027,1.11927,-0.001,SL,286.0
3,2020-01-02 11:05:00,2020-01-02 11:31:00,Long,1.12011,1.11911,-0.001,SL,26.0
4,2020-01-02 12:21:00,2020-01-02 14:24:00,Long,1.1191,1.1181,-0.001,SL,123.0
5,2020-01-02 15:21:00,2020-01-02 15:58:00,Long,1.11769,1.11969,0.002,TP,37.0
6,2020-01-02 16:27:00,2020-01-02 16:55:00,Short,1.1186,1.1166,0.002,TP,28.0
7,2020-01-02 17:35:00,2020-01-03 07:18:00,Long,1.11705,1.11605,-0.001,SL,823.0
8,2020-01-03 08:18:00,2020-01-03 09:15:00,Long,1.11559,1.11459,-0.001,SL,57.0
9,2020-01-03 12:07:00,2020-01-03 14:40:00,Long,1.11303,1.11503,0.002,TP,153.0
10,2020-01-03 15:52:00,2020-01-03 16:14:00,Short,1.11575,1.11675,-0.001,SL,22.0
11,2020-01-03 17:05:00,2020-01-03 21:52:00,Short,1.11736,1.11536,0.002,TP,287.0
12,2020-01-05 22:01:00,2020-01-06 09:41:00,Long,1.11667,1.11867,0.002,TP,700.0
13,2020-01-06 12:11:00,2020-01-07 07:01:00,Short,1.11991,1.11791,0.002,TP,1130.0
14,2020-01-07 07:03:00,2020-01-07 13:55:00,Short,1.11811,1.11611,0.002,TP,412.0
15,2020-01-07 16:07:00,2020-01-08 00:14:00,Long,1.11431,1.11631,0.002,TP,487.0
16,2020-01-08 00:58:00,2020-01-08 08:13:00,Short,1.116,1.114,0.002,TP,435.0
17,2020-01-08 08:16:00,2020-01-08 11:21:00,Short,1.11429,1.11229,0.002,TP,185.0
18,2020-01-08 11:46:00,2020-01-08 12:45:00,Long,1.11289,1.11189,-0.001,SL,59.0
19,2020-01-08 13:42:00,2020-01-08 21:45:00,Long,1.11178,1.11078,-0.001,SL,483.0
20,2020-01-08 22:23:00,2020-01-09 10:03:00,Long,1.11079,1.10979,-0.001,SL,700.0
21,2020-01-09 10:32:00,2020-01-09 15:40:00,Long,1.11048,1.10948,-0.001,SL,308.0
22,2020-01-09 16:38:00,2020-01-10 10:41:00,Long,1.1101,1.1091,-0.001,SL,1083.0
23,2020-01-10 11:34:00,2020-01-10 13:31:00,Long,1.10934,1.11134,0.002,TP,117.0
24,2020-01-10 13:36:00,2020-01-10 13:58:00,Long,1.1108,1.1098,-0.001,SL,22.0
25,2020-01-10 14:06:00,2020-01-10 15:08:00,Short,1.1095,1.1105,-0.001,SL,62.0
26,2020-01-10 17:48:00,2020-01-13 05:45:00,Short,1.11208,1.11308,-0.001,SL,3597.0
27,2020-01-13 06:10:00,2020-01-13 09:03:00,Short,1.11254,1.11354,-0.001,SL,173.0
28,2020-01-13 09:23:00,2020-01-13 15:33:00,Short,1.11213,1.11313,-0.001,SL,370.0
29,2020-01-13 17:00:00,2020-01-14 13:04:00,Short,1.11372,1.11172,0.002,TP,1204.0
30,2020-01-14 14:03:00,2020-01-14 17:14:00,Long,1.11116,1.11316,0.002,TP,191.0
31,2020-01-14 17:50:00,2020-01-15 11:01:00,Short,1.11307,1.11407,-0.001,SL,1031.0
32,2020-01-15 11:50:00,2020-01-15 14:20:00,Short,1.11471,1.11571,-0.001,SL,150.0
33,2020-01-15 14:55:00,2020-01-16 12:30:00,Short,1.11546,1.11646,-0.001,SL,1295.0
34,2020-01-16 13:34:00,2020-01-16 15:12:00,Short,1.11567,1.11367,0.002,TP,98.0
35,2020-01-16 16:01:00,2020-01-16 16:50:00,Long,1.11395,1.11295,-0.001,SL,49.0
36,2020-01-16 17:12:00,2020-01-17 10:25:00,Long,1.11337,1.11237,-0.001,SL,1033.0
37,2020-01-17 12:01:00,2020-01-17 13:33:00,Long,1.11123,1.11023,-0.001,SL,92.0
38,2020-01-17 14:24:00,2020-01-17 15:22:00,Long,1.11046,1.10946,-0.001,SL,58.0
39,2020-01-17 16:15:00,2020-01-20 13:25:00,Long,1.10919,1.10819,-0.001,SL,4150.0
40,2020-01-20 13:53:00,2020-01-21 10:25:00,Long,1.10849,1.11049,0.002,TP,1232.0
41,2020-01-21 11:05:00,2020-01-21 13:11:00,Short,1.11041,1.11141,-0.001,SL,126.0
42,2020-01-21 13:55:00,2020-01-21 15:41:00,Short,1.11135,1.10935,0.002,TP,106.0
43,2020-01-21 16:10:00,2020-01-21 20:56:00,Long,1.10983,1.10883,-0.001,SL,286.0
44,2020-01-21 22:16:00,2020-01-22 14:59:00,Long,1.1083,1.1073,-0.001,SL,1003.0
45,2020-01-22 15:41:00,2020-01-22 23:15:00,Long,1.10756,1.10956,0.002,TP,454.0
46,2020-01-22 23:54:00,2020-01-23 13:34:00,Short,1.10945,1.11045,-0.001,SL,820.0
47,2020-01-23 13:54:00,2020-01-23 14:21:00,Short,1.10839,1.10639,0.002,TP,27.0
48,2020-01-23 16:46:00,2020-01-24 08:30:00,Long,1.10408,1.10608,0.002,TP,944.0
49,2020-01-24 08:50:00,2020-01-24 12:57:00,Short,1.10477,1.10277,0.002,TP,247.0
50,2020-01-24 13:21:00,2020-01-24 15:19:00,Long,1.10367,1.10267,-0.001,SL,118.0
51,2020-01-24 16:36:00,2020-01-27 15:59:00,Long,1.10215,1.10115,-0.001,SL,4283.0
52,2020-01-27 16:29:00,2020-01-28 11:52:00,Long,1.10188,1.10088,-0.001,SL,1163.0
53,2020-01-28 12:56:00,2020-01-29 00:31:00,Long,1.1006,1.1026,0.002,TP,695.0
54,2020-01-29 01:02:00,2020-01-29 08:13:00,Short,1.10222,1.10022,0.002,TP,431.0
55,2020-01-29 08:36:00,2020-01-29 13:25:00,Long,1.10044,1.09944,-0.001,SL,289.0
56,2020-01-29 14:42:00,2020-01-29 19:53:00,Long,1.0998,1.1018,0.002,TP,311.0
57,2020-01-29 20:23:00,2020-01-30 09:11:00,Short,1.10112,1.10212,-0.001,SL,768.0
58,2020-01-30 09:36:00,2020-01-30 12:22:00,Short,1.10153,1.10253,-0.001,SL,166.0
59,2020-01-30 12:50:00,2020-01-30 15:36:00,Short,1.10221,1.10321,-0.001,SL,166.0
60,2020-01-30 16:19:00,2020-01-30 19:44:00,Short,1.10289,1.10389,-0.001,SL,205.0
